date,home_team,away_team,home_score,away_score,neutral,home_form,away_form,form_diff,elo_home,elo_away,elo_diff
1990-03-02,Ivory Coast,Egypt,3.0,1.0,1,3,6,-3,1490.0,1503.2234279507388,-13.223427950738824
1990-03-02,Algeria,Nigeria,5.0,1.0,0,7,4,3,1519.14549997581,1510.0,9.145499975810026
1990-03-03,Cameroon,Zambia,0.0,1.0,1,1,0,1,1490.56721209952,1500.0,-9.43278790047998
1990-03-03,Senegal,Kenya,0.0,0.0,1,4,3,1,1510.0,1500.28774368332,9.712256316679941
1990-03-04,Oman,Qatar,2.0,4.0,1,3,2,1,1499.509767858901,1499.8061726398735,-0.29640478097257983
1990-03-05,Algeria,Ivory Coast,3.0,0.0,0,10,6,4,1528.8823321065095,1500.3804171817249,28.501914924784614
1990-03-05,Bahrain,United Arab Emirates,1.0,0.0,1,2,6,-4,1489.989098254166,1503.452827992345,-13.463729738178927
1990-03-05,Nigeria,Egypt,1.0,0.0,1,4,3,1,1500.2631678693006,1492.843010769014,7.420157100286588
1990-03-06,Cameroon,Senegal,0.0,2.0,1,1,5,-4,1480.8386428715312,1509.7205315838,-28.881888712268847
1990-03-06,Mozambique,Angola,2.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-03-06,Zambia,Kenya,1.0,0.0,1,3,4,-1,1509.7285692279888,1500.56721209952,9.161357128468808
1990-03-07,Kuwait,Qatar,2.0,0.0,0,5,5,0,1489.804596185141,1509.797641426566,-19.99304524142508
1990-03-07,Lesotho,Zimbabwe,1.0,4.0,1,0,0,0,1500.0,1500.0,0.0
1990-03-08,Angola,Zimbabwe,0.0,2.0,1,0,3,-3,1490.0,1510.0,-20.0
1990-03-08,Algeria,Egypt,2.0,0.0,0,13,3,10,1538.0638163656736,1483.0565475930603,55.007268772613315
1990-03-08,Nigeria,Ivory Coast,1.0,0.0,1,7,6,1,1510.0496310452543,1491.1989329225607,18.85069812269353
1990-03-09,Cameroon,Kenya,2.0,0.0,1,1,4,-3,1471.6680208891928,1490.8308360577198,-19.162815168527004
1990-03-09,Kuwait,United Arab Emirates,6.0,1.0,0,8,5,3,1500.3794079505653,1493.0655045612966,7.313903389268717
1990-03-09,Zambia,Senegal,0.0,0.0,1,6,8,-2,1519.464945269789,1518.8911535661384,0.5737917036506133
1990-03-10,Angola,Lesotho,3.0,1.0,1,0,0,0,1480.5750112778453,1490.0,-9.424988722154694
1990-03-10,Mozambique,Zimbabwe,3.0,1.0,0,3,6,-3,1510.0,1519.4249887221547,-9.424988722154694
1990-03-10,United States,Finland,2.0,1.0,0,4,4,0,1624.9531044544406,1509.8002314627436,115.152872991697
1990-03-11,Mozambique,Lesotho,3.0,0.0,0,6,0,6,1520.2712064588613,1479.7287935411387,40.542412917722686
1990-03-12,Algeria,Senegal,2.0,1.0,0,13,9,4,1546.493677263798,1518.907668603915,27.586008659882964
1990-03-12,Nigeria,Zambia,2.0,0.0,1,10,7,3,1519.507596113115,1519.4484302320125,0.05916588110244447
1990-03-15,Senegal,Zambia,0.0,1.0,1,6,7,-1,1509.699993468958,1509.450133162944,0.24986030601394305
1990-03-16,Jamaica,Barbados,0.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-03-16,Algeria,Nigeria,1.0,0.0,0,13,10,3,1555.701352398755,1529.5058931821834,26.195459216571635
1990-03-18,Jamaica,Barbados,1.0,0.0,0,0,3,-3,1490.0,1510.0,-20.0
1990-03-20,Hungary,United States,2.0,0.0,0,0,7,-7,1500.0,1631.7549940094732,-131.7549940094732
1990-03-20,Mexico,Uruguay,2.0,1.0,1,3,6,-3,1665.1949385329592,1757.8531721678337,-92.65823363487448
1990-03-21,Basque Country,Romania,2.0,2.0,0,0,1,-1,1500.0,1500.56675634087,-0.5667563408699152
1990-03-24,Sint Maarten,Cayman Islands,1.0,1.0,1,0,0,0,1500.0,1500.0,0.0
1990-03-24,Saint Kitts and Nevis,Antigua and Barbuda,3.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-03-24,Saint Martin,British Virgin Islands,3.0,0.0,0,0,0,0,1500.0,1500.0,0.0
1990-03-27,Northern Ireland,Norway,2.0,3.0,0,0,4,-4,1500.0,1509.71225631668,-9.712256316679941
1990-03-28,Russia,Netherlands,2.0,1.0,0,7,1,6,1523.81967460236,1750.0,-226.18032539764
1990-03-28,Luxembourg,Iceland,1.0,2.0,0,0,0,0,1500.0,1500.0,0.0
1990-03-28,Spain,Austria,2.0,3.0,0,3,1,2,1852.3532340590612,1500.095524216665,352.25770984239625
1990-03-28,Scotland,Argentina,1.0,0.0,0,0,0,0,1500.0,1834.8050614670408,-334.8050614670408
1990-03-28,Republic of Ireland,Wales,1.0,0.0,0,0,0,0,1500.0,1500.0,0.0
1990-03-28,German DR,United States,3.0,2.0,0,3,7,-4,1507.6739420658364,1618.134683320581,-110.46074125474456
1990-03-28,Greece,Israel,2.0,1.0,0,3,0,3,1516.1663534509892,1500.0,16.166353450989163
1990-03-28,Egypt,Romania,1.0,3.0,0,2,2,0,1474.6266866949359,1500.550443796566,-25.923757101630144
